random_state,k,perturb_method,top_features_label0,top_features_label1,AOPC_label0,AOPC_label1
1212,1,mean,[21],[21],-0.04492900979919545,0.00782783841714263
1212,1,median,[21],[21],-0.046944288919327004,0.014267807360738516
1212,1,marginal,[21],[21],0.15196307487412652,-0.0014033983461558819
1212,1,zero,[21],[21],-0.028774001250181147,0.003741416148841381
1212,2,mean,"[21, 39]","[21, 39]",-0.05276193847256394,0.0009626331739127636
1212,2,median,"[21, 39]","[21, 39]",-0.05402861569538975,-0.0012115365825593472
1212,2,marginal,"[21, 39]","[21, 39]",0.15231230699770645,-0.003742785193026066
1212,2,zero,"[21, 39]","[21, 39]",0.031638520688967164,0.0007188227027654648
1212,3,mean,"[21, 39, 11]","[21, 39, 11]",-0.041872538774268,0.0001871099229902029
1212,3,median,"[21, 39, 11]","[21, 39, 11]",-0.0620793219643585,-0.0020827585831284523
1212,3,marginal,"[21, 39, 11]","[21, 39, 11]",0.192808318695031,-0.015063593164086342
1212,3,zero,"[21, 39, 11]","[21, 39, 11]",0.16338630041109237,-0.0016286298632621765
1212,4,mean,"[21, 39, 11, 42]","[21, 39, 11, 29]",-0.05546348907570264,0.028751628706231713
1212,4,median,"[21, 39, 11, 42]","[21, 39, 11, 29]",-0.1229754615891605,0.04150217538699508
1212,4,marginal,"[21, 39, 11, 42]","[21, 39, 11, 29]",0.34039190012500675,-0.017121978104114532
1212,4,zero,"[21, 39, 11, 42]","[21, 39, 11, 29]",0.18752491012552497,-0.0008387882262468338
1212,5,mean,"[21, 39, 11, 42, 29]","[21, 39, 11, 29, 42]",-0.0655905342403682,0.008719386532902718
1212,5,median,"[21, 39, 11, 42, 29]","[21, 39, 11, 29, 42]",-0.13741350534773433,0.026546551380306482
1212,5,marginal,"[21, 39, 11, 42, 29]","[21, 39, 11, 29, 42]",0.34086488727177017,-0.026069526560604572
1212,5,zero,"[21, 39, 11, 42, 29]","[21, 39, 11, 29, 42]",0.20291425657436307,-0.003235888434574008
1462,1,mean,[32],[32],-0.015023361243960606,0.01421495581326029
1462,1,median,[32],[32],-0.013879857605458013,0.016732339479558433
1462,1,marginal,[32],[32],0.08398926139662749,-0.06230497791759188
1462,1,zero,[32],[32],0.09059537464170071,-0.0020678487103098003
1462,2,mean,"[32, 3]","[32, 27]",-0.01745965285825583,0.07076353728166435
1462,2,median,"[32, 3]","[32, 27]",-0.034126965125361584,0.073254785978429
1462,2,marginal,"[32, 3]","[32, 27]",0.009605310327340041,-0.03530238228369045
1462,2,zero,"[32, 3]","[32, 27]",0.07411813709701993,0.05732379902770132
1462,3,mean,"[32, 3, 27]","[32, 27, 2]",-0.06590645737319557,0.05634430592058277
1462,3,median,"[32, 3, 27]","[32, 27, 2]",-0.08418473042716587,0.11394605778228871
1462,3,marginal,"[32, 3, 27]","[32, 27, 2]",-0.010054423721901204,-0.04282863937866645
1462,3,zero,"[32, 3, 27]","[32, 27, 2]",0.06420604241171843,0.039094713412367414
1462,4,mean,"[32, 3, 27, 39]","[32, 27, 2, 11]",-0.028362955073113667,0.07002449439781937
1462,4,median,"[32, 3, 27, 39]","[32, 27, 2, 11]",-0.055792562552742724,0.13368524521408295
1462,4,marginal,"[32, 3, 27, 39]","[32, 27, 2, 11]",0.19485621645143422,-0.040530218466998176
1462,4,zero,"[32, 3, 27, 39]","[32, 27, 2, 11]",0.12767855491559946,0.00734041309321714
1462,5,mean,"[32, 3, 27, 39, 2]","[32, 27, 2, 11, 38]",-0.14508158218288397,0.12234799361545336
1462,5,median,"[32, 3, 27, 39, 2]","[32, 27, 2, 11, 38]",-0.18898304777717467,0.15077525106035516
1462,5,marginal,"[32, 3, 27, 39, 2]","[32, 27, 2, 11, 38]",0.19585628812427103,-0.21072873344556223
1462,5,zero,"[32, 3, 27, 39, 2]","[32, 27, 2, 11, 38]",0.10813597407187775,0.00624185915072712
1512,1,mean,[29],[29],-0.030770977995454512,0.000785415854706015
1512,1,median,[29],[29],-0.02009518901362463,0.0010935627918418807
1512,1,marginal,[29],[29],-0.06980871904720705,0.01640955677996519
1512,1,zero,[29],[29],-0.07121345405906096,0.022531433361210575
1512,2,mean,"[29, 39]","[29, 39]",-0.0066310324002658814,0.015587969272423329
1512,2,median,"[29, 39]","[29, 39]",-0.006987019416593891,0.02712703388897353
1512,2,marginal,"[29, 39]","[29, 39]",-0.09103027299969174,0.01767438749528891
1512,2,zero,"[29, 39]","[29, 39]",-0.0004646128900829025,0.05290815996906733
1512,3,mean,"[29, 39, 41]","[29, 39, 41]",0.020496350537079086,0.025894281954808522
1512,3,median,"[29, 39, 41]","[29, 39, 41]",0.016247033227778554,0.03920599346424246
1512,3,marginal,"[29, 39, 41]","[29, 39, 41]",0.213339073637499,0.03074182000919892
1512,3,zero,"[29, 39, 41]","[29, 39, 41]",0.0734931072609195,0.055824464456236456
1512,4,mean,"[29, 39, 41, 35]","[29, 39, 41, 35]",-0.004442131405983534,0.027655534018574852
1512,4,median,"[29, 39, 41, 35]","[29, 39, 41, 35]",-0.010318386702465432,0.040414564115861945
1512,4,marginal,"[29, 39, 41, 35]","[29, 39, 41, 35]",0.1503197589800297,0.02200867330167158
1512,4,zero,"[29, 39, 41, 35]","[29, 39, 41, 35]",0.05592303977312196,0.05417482481263707
1512,5,mean,"[29, 39, 41, 35, 34]","[29, 39, 41, 35, 34]",-0.007471946589400129,0.036782473827770445
1512,5,median,"[29, 39, 41, 35, 34]","[29, 39, 41, 35, 34]",-0.018219628693027328,0.04469845797494701
1512,5,marginal,"[29, 39, 41, 35, 34]","[29, 39, 41, 35, 34]",0.14477358029222204,0.030750758287063543
1512,5,zero,"[29, 39, 41, 35, 34]","[29, 39, 41, 35, 34]",0.09119479199627932,0.04940500132458207
1431,1,mean,[39],[39],0.03855807955187834,-0.0028175539695615335
1431,1,median,[39],[39],0.0313144891235979,-0.002783533472283002
1431,1,marginal,[39],[39],0.14411701536913155,0.00691774372074016
1431,1,zero,[39],[39],0.09037166969753817,-0.005441937309054399
1431,2,mean,"[39, 29]","[39, 41]",0.05713130605128846,0.008974745869532832
1431,2,median,"[39, 29]","[39, 41]",0.05774362033182546,0.016023702346358696
1431,2,marginal,"[39, 29]","[39, 41]",0.17114084847067465,0.025301232805304268
1431,2,zero,"[39, 29]","[39, 41]",0.16520684179466325,0.04420466606431383
1431,3,mean,"[39, 29, 41]","[39, 41, 29]",0.11331187752250108,-0.03703290567959264
1431,3,median,"[39, 29, 41]","[39, 41, 29]",0.10244747063185619,-0.037480807075136284
1431,3,marginal,"[39, 29, 41]","[39, 41, 29]",0.1713825808927868,0.03824386627725452
1431,3,zero,"[39, 29, 41]","[39, 41, 29]",0.19530382353622117,0.047202874834701425
1431,4,mean,"[39, 29, 41, 5]","[39, 41, 29, 21]",0.11636624818467396,0.026191132133728718
1431,4,median,"[39, 29, 41, 5]","[39, 41, 29, 21]",0.10875833470129896,0.025279770461929005
1431,4,marginal,"[39, 29, 41, 5]","[39, 41, 29, 21]",0.15987566340940143,0.04894157876902676
1431,4,zero,"[39, 29, 41, 5]","[39, 41, 29, 21]",0.188975327972922,0.04149613292129344
1431,5,mean,"[39, 29, 41, 5, 21]","[39, 41, 29, 21, 5]",0.1031786683058674,0.02270401115428366
1431,5,median,"[39, 29, 41, 5, 21]","[39, 41, 29, 21, 5]",0.059293879837610634,0.022257536130181256
1431,5,marginal,"[39, 29, 41, 5, 21]","[39, 41, 29, 21, 5]",0.20934604534924287,0.02651938875332971
1431,5,zero,"[39, 29, 41, 5, 21]","[39, 41, 29, 21, 5]",0.19341498982421743,0.05000935410060513
1651,1,mean,[27],[27],-0.04030940855869823,0.10310378715041138
1651,1,median,[27],[27],-0.04154484183586674,0.10801640263802949
1651,1,marginal,[27],[27],0.004794483884259811,0.18241226203030064
1651,1,zero,[27],[27],-0.012405382495568815,0.10032097126046817
1651,2,mean,"[27, 32]","[27, 32]",-0.06382721307746217,0.10903279039831389
1651,2,median,"[27, 32]","[27, 32]",-0.06093131758162565,0.12345179383243833
1651,2,marginal,"[27, 32]","[27, 32]",-0.07845621275447008,0.21027377003892547
1651,2,zero,"[27, 32]","[27, 32]",0.045565494269963404,0.10316293899502073
1651,3,mean,"[27, 32, 42]","[27, 32, 42]",-0.052249595033257,0.12883540668657847
1651,3,median,"[27, 32, 42]","[27, 32, 42]",-0.039132757726924955,0.17021717650017568
1651,3,marginal,"[27, 32, 42]","[27, 32, 42]",0.013648039234737128,0.214767557879289
1651,3,zero,"[27, 32, 42]","[27, 32, 42]",0.11525448787360155,0.13063229221318448
1651,4,mean,"[27, 32, 42, 2]","[27, 32, 42, 29]",-0.045466265518647866,0.11794279657659076
1651,4,median,"[27, 32, 42, 2]","[27, 32, 42, 29]",-0.05228209083289222,0.17213464244490578
1651,4,marginal,"[27, 32, 42, 2]","[27, 32, 42, 29]",-0.006659935140027926,0.2105191500768775
1651,4,zero,"[27, 32, 42, 2]","[27, 32, 42, 29]",-0.0072698819458397535,0.10986472639654364
1651,5,mean,"[27, 32, 42, 2, 25]","[27, 32, 42, 29, 1]",-0.04095869395125526,0.11046911172923587
1651,5,median,"[27, 32, 42, 2, 25]","[27, 32, 42, 29, 1]",-0.0612212865754095,0.18553204524020353
1651,5,marginal,"[27, 32, 42, 2, 25]","[27, 32, 42, 29, 1]",0.061648248060644076,0.14813593318242402
1651,5,zero,"[27, 32, 42, 2, 25]","[27, 32, 42, 29, 1]",-0.004863623241185986,0.05658836724857489
1013,1,mean,[39],[1],0.014621236405943705,-0.001204838976264
1013,1,median,[39],[1],0.008158927033807432,-0.006021796622210079
1013,1,marginal,[39],[1],0.022014000315039875,-0.0039147211031781304
1013,1,zero,[39],[1],0.03203744674780514,-0.015516854615675079
1013,2,mean,"[39, 1]","[1, 39]",-0.05416642056396231,-0.003219921348823441
1013,2,median,"[39, 1]","[1, 39]",-0.06461814364638406,-0.026620117119616933
1013,2,marginal,"[39, 1]","[1, 39]",-0.03672947071464547,0.016556336647934385
1013,2,zero,"[39, 1]","[1, 39]",-0.018610411994775374,-0.02369178065823184
1013,3,mean,"[39, 1, 29]","[1, 39, 29]",-0.04795994882908003,-0.015131055273943476
1013,3,median,"[39, 1, 29]","[1, 39, 29]",-0.05792424966243459,-0.043711858284142285
1013,3,marginal,"[39, 1, 29]","[1, 39, 29]",-0.023466559068088897,-0.044730720213717885
1013,3,zero,"[39, 1, 29]","[1, 39, 29]",-0.007938321975955552,-0.03200545637971825
1013,4,mean,"[39, 1, 29, 25]","[1, 39, 29, 25]",-0.05928471649093265,0.043874867260456085
1013,4,median,"[39, 1, 29, 25]","[1, 39, 29, 25]",-0.06096627309713417,0.01026042571498288
1013,4,marginal,"[39, 1, 29, 25]","[1, 39, 29, 25]",-0.014109537172199142,0.04714772730625959
1013,4,zero,"[39, 1, 29, 25]","[1, 39, 29, 25]",-0.027311585874068258,0.012311830495794615
1013,5,mean,"[39, 1, 29, 25, 5]","[1, 39, 29, 25, 5]",-0.0693352334794189,0.061755861052208476
1013,5,median,"[39, 1, 29, 25, 5]","[1, 39, 29, 25, 5]",-0.07138624053506801,0.03457735375397735
1013,5,marginal,"[39, 1, 29, 25, 5]","[1, 39, 29, 25, 5]",0.06865290128139831,0.03523867405278401
