random_state,k,perturb_method,top_features_label0,top_features_label1,AOPC_label0,AOPC_label1
1013,5,zero,"[39, 1, 29, 25, 5]","[1, 39, 29, 25, 5]",0.009170683442350343,0.013001438851157824
1690,1,mean,[38],[36],-0.008621033274683517,0.030663848781841807
1690,1,median,[38],[36],-0.013537529111478838,0.031690864392051786
1690,1,marginal,[38],[36],-0.006529370238268939,0.029085814031229045
1690,1,zero,[38],[36],0.0030647891777941063,0.024461552185433295
1690,2,mean,"[38, 36]","[36, 38]",-0.002449142100526084,0.11240148280921858
1690,2,median,"[38, 36]","[36, 38]",-0.0073723852189952295,0.13761636740431035
1690,2,marginal,"[38, 36]","[36, 38]",-0.09036732734121718,0.14994687955671301
1690,2,zero,"[38, 36]","[36, 38]",0.005165248229578386,0.12360537572628043
1690,3,mean,"[38, 36, 39]","[36, 38, 39]",0.0013405429083377385,0.10860586882821129
1690,3,median,"[38, 36, 39]","[36, 38, 39]",-0.01203008193376339,0.13186302609877507
1690,3,marginal,"[38, 36, 39]","[36, 38, 39]",-0.10684011811612966,0.15413497600335782
1690,3,zero,"[38, 36, 39]","[36, 38, 39]",0.01274193505457788,0.06979964923327013
1690,4,mean,"[38, 36, 39, 4]","[36, 38, 39, 21]",-0.05926716992633215,0.07854722400952596
1690,4,median,"[38, 36, 39, 4]","[36, 38, 39, 21]",-0.06830844994451013,0.10695817030015557
1690,4,marginal,"[38, 36, 39, 4]","[36, 38, 39, 21]",-0.20024379657765698,0.1602218425105093
1690,4,zero,"[38, 36, 39, 4]","[36, 38, 39, 21]",-0.03769203156657941,0.030796130279971596
1690,5,mean,"[38, 36, 39, 4, 40]","[36, 38, 39, 21, 40]",-0.04769611291772691,0.20565295932950298
1690,5,median,"[38, 36, 39, 4, 40]","[36, 38, 39, 21, 40]",-0.05822789750358037,0.23078545200890707
1690,5,marginal,"[38, 36, 39, 4, 40]","[36, 38, 39, 21, 40]",-0.1971627771544983,0.24243596176529536
1690,5,zero,"[38, 36, 39, 4, 40]","[36, 38, 39, 21, 40]",0.022687500847001402,0.14487662870184673
1515,1,mean,[39],[39],0.046575865597828454,-0.005545767723049266
1515,1,median,[39],[39],0.04735880232001197,-0.0057538694247227795
1515,1,marginal,[39],[39],0.0647398258692508,-0.005525351200901696
1515,1,zero,[39],[39],0.11061961263315684,-0.006629576954708227
1515,2,mean,"[39, 29]","[39, 29]",0.049316154932524656,0.0009784135282302486
1515,2,median,"[39, 29]","[39, 29]",0.04936679893465542,0.007506233088008685
1515,2,marginal,"[39, 29]","[39, 29]",0.06282132439384433,0.02475174289708093
1515,2,zero,"[39, 29]","[39, 29]",0.15952546404699533,-0.09729551560752725
1515,3,mean,"[39, 29, 32]","[39, 29, 32]",0.008434568266086621,0.03567153797035871
1515,3,median,"[39, 29, 32]","[39, 29, 32]",0.014646953559217524,0.04425508571426917
1515,3,marginal,"[39, 29, 32]","[39, 29, 32]",-0.019007819368796107,-0.019462443745339897
1515,3,zero,"[39, 29, 32]","[39, 29, 32]",0.24576129423897397,-0.11492728608294556
1515,4,mean,"[39, 29, 32, 14]","[39, 29, 32, 14]",0.01012296298209428,0.00716325941453988
1515,4,median,"[39, 29, 32, 14]","[39, 29, 32, 14]",0.051039809603332424,-0.015588135666746439
1515,4,marginal,"[39, 29, 32, 14]","[39, 29, 32, 14]",-0.022667977068798827,0.048977564812105356
1515,4,zero,"[39, 29, 32, 14]","[39, 29, 32, 14]",0.35293418212732086,-0.19031149628148114
1515,5,mean,"[39, 29, 32, 14, 42]","[39, 29, 32, 14, 1]",0.11611564538880952,-0.05254757273695532
1515,5,median,"[39, 29, 32, 14, 42]","[39, 29, 32, 14, 1]",0.10049584417970671,-0.04935932808899679
1515,5,marginal,"[39, 29, 32, 14, 42]","[39, 29, 32, 14, 1]",0.014289104753662183,0.16190870198607854
1515,5,zero,"[39, 29, 32, 14, 42]","[39, 29, 32, 14, 1]",0.4401017115214291,-0.18385400860637446
1997,1,mean,[2],[2],-0.029734699252222968,-0.005582798375050108
1997,1,median,[2],[2],-0.036426956602401576,-0.002216366079915917
1997,1,marginal,[2],[2],0.4493868001046029,-0.12707888566778977
1997,1,zero,[2],[2],0.07351844504446284,-0.01695425512216702
1997,2,mean,"[2, 11]","[2, 11]",0.014116378542089277,0.0137229519014313
1997,2,median,"[2, 11]","[2, 11]",-0.0031548648123827976,0.01640758484816239
1997,2,marginal,"[2, 11]","[2, 11]",0.43215742560177833,-0.1222520953678809
1997,2,zero,"[2, 11]","[2, 11]",0.08994126397330095,-0.01075187253715332
1997,3,mean,"[2, 11, 39]","[2, 11, 39]",0.02557740097156886,0.01407922206861509
1997,3,median,"[2, 11, 39]","[2, 11, 39]",0.00573940020773802,0.016756021331745835
1997,3,marginal,"[2, 11, 39]","[2, 11, 39]",0.47939579260109744,-0.13675711176055583
1997,3,zero,"[2, 11, 39]","[2, 11, 39]",0.21261809453988423,-0.01541719934664735
1997,4,mean,"[2, 11, 39, 32]","[2, 11, 39, 32]",0.026567074853324754,0.06096221702431774
1997,4,median,"[2, 11, 39, 32]","[2, 11, 39, 32]",-0.008596306113510362,0.06301860161492469
1997,4,marginal,"[2, 11, 39, 32]","[2, 11, 39, 32]",0.48863757556864723,-0.1373559863459377
1997,4,zero,"[2, 11, 39, 32]","[2, 11, 39, 32]",0.27975933219758514,-0.015155578198353961
1997,5,mean,"[2, 11, 39, 32, 25]","[2, 11, 39, 32, 27]",6.978144705849806e-05,0.042895170013190216
1997,5,median,"[2, 11, 39, 32, 25]","[2, 11, 39, 32, 27]",-0.0451298448194632,0.045924677178265545
1997,5,marginal,"[2, 11, 39, 32, 25]","[2, 11, 39, 32, 27]",0.48241822044233684,-0.13708220371449115
1997,5,zero,"[2, 11, 39, 32, 25]","[2, 11, 39, 32, 27]",0.2592397270357468,-0.021604491515784596
1549,1,mean,[25],[25],0.013287806530018528,-0.022031220297018688
1549,1,median,[25],[25],0.005466698051305253,-0.024280456205209095
1549,1,marginal,[25],[25],-0.0018244829155567726,0.02222345893581708
1549,1,zero,[25],[25],0.022837507038150726,-0.03226391226053238
1549,2,mean,"[25, 38]","[25, 38]",-0.025460757526320297,-0.021906226873397827
1549,2,median,"[25, 38]","[25, 38]",-0.024558293854296896,-0.019053871432940166
1549,2,marginal,"[25, 38]","[25, 38]",0.017922158739111183,0.028429244955380756
1549,2,zero,"[25, 38]","[25, 38]",0.002628587051874598,0.0009617507457733154
1549,3,mean,"[25, 38, 29]","[25, 38, 39]",-0.01613884670424603,-0.01194728414217631
1549,3,median,"[25, 38, 29]","[25, 38, 39]",-0.024986302423499456,0.008961426715056101
1549,3,marginal,"[25, 38, 29]","[25, 38, 39]",0.07449089322792918,0.004798874258995056
1549,3,zero,"[25, 38, 29]","[25, 38, 39]",0.07836067079698746,-0.0036878896256287894
1549,4,mean,"[25, 38, 29, 39]","[25, 38, 39, 29]",0.029407146113702293,-0.008141306539376577
1549,4,median,"[25, 38, 29, 39]","[25, 38, 39, 29]",-0.025792812574305185,0.024159319698810577
1549,4,marginal,"[25, 38, 29, 39]","[25, 38, 39, 29]",0.11728808437382791,0.024093111356099445
1549,4,zero,"[25, 38, 29, 39]","[25, 38, 39, 29]",0.1705103588812544,-0.03252123296260834
1549,5,mean,"[25, 38, 29, 39, 15]","[25, 38, 39, 29, 15]",0.08534718570370914,0.06047497317194939
1549,5,median,"[25, 38, 29, 39, 15]","[25, 38, 39, 29, 15]",0.013141020300805864,0.06853958095113437
1549,5,marginal,"[25, 38, 29, 39, 15]","[25, 38, 39, 29, 15]",0.22105458897490252,0.014165188185870647
1549,5,zero,"[25, 38, 29, 39, 15]","[25, 38, 39, 29, 15]",0.17892528907597427,0.009350009262561798
